reporting_month,account_id,product,tenure_months,credit_limit,spend,balance,revolve_balance,delinquency_bucket
2023-01-01,100049,Travel Reward,10,10000,0.0,382.75,0.0,Current
2023-01-01,100050,Travel Reward,20,5000,2821.82,1592.78,424.19,Current
2023-01-01,100051,Travel Reward,7,10000,295.12,5525.34,1746.28,Current
2023-01-01,100052,Low APR,50,5000,66.83,1822.22,1222.07,Current
2023-01-01,100053,Cashback,78,25000,22.44,7000.47,0.0,Current
2023-01-01,100054,Travel Reward,100,1000,43.7,93.15,0.0,Current
2023-01-01,100055,Travel Reward,39,2500,0.0,1323.66,0.0,Current
2023-01-01,100056,Cashback,63,5000,136.47,2799.11,0.0,Current
2023-01-01,100057,Cashback,74,5000,14.76,558.27,393.21,Current
2023-01-01,100058,Cashback,110,15000,0.0,3365.53,1766.38,Current
2023-01-01,100059,Low APR,62,5000,0.0,2167.19,0.0,Current
2023-01-01,100060,Cashback,36,15000,17.21,4364.94,0.0,Current
2023-01-01,100061,Cashback,111,1000,0.0,234.59,150.62,30-59 DPD
2023-01-01,100062,Cashback,11,15000,12.26,6156.78,0.0,Current
2023-01-01,100063,Cashback,21,2500,79.18,1375.52,1079.07,Current
2023-01-01,100064,Low APR,50,1000,92.08,363.15,0.0,Current
2023-01-01,100065,Student,13,1000,800.0,57.66,0.0,Current
2023-01-01,100066,Cashback,37,2500,0.0,925.88,0.0,Current
2023-01-01,100067,Student,51,1000,0.0,192.97,81.86,Current
2023-01-01,100068,Low APR,101,2500,0.0,2250.0,2250.0,90+ DPD
2023-01-01,100069,Travel Reward,26,1000,9.61,462.7,0.0,Current
2023-01-01,100070,Cashback,25,2500,449.9,851.35,0.0,Current
2023-01-01,100071,Cashback,65,1000,0.0,457.58,0.0,Current
2023-01-01,100072,Cashback,5,10000,2711.77,1481.33,1200.93,Current
2023-01-01,100073,Cashback,75,1000,27.96,177.67,132.33,Current
2023-01-01,100074,Low APR,67,2500,187.02,310.48,0.0,Current
2023-01-01,100075,Cashback,53,2500,0.0,734.99,0.0,1-29 DPD
2023-01-01,100076,Cashback,32,1000,0.0,189.96,0.0,Current
2023-01-01,100077,Low APR,96,5000,309.04,309.2,200.52,Current
2023-01-01,100078,Cashback,103,10000,24.49,1916.25,0.0,Current
2023-01-01,100079,Cashback,83,25000,0.0,12423.82,8859.18,Current
2023-01-01,100080,Cashback,25,10000,256.03,2371.41,0.0,Current
2023-01-01,100081,Travel Reward,75,1000,112.54,295.52,176.23,Current
2023-01-01,100082,Travel Reward,87,2500,1180.06,402.09,0.0,Current
2023-01-01,100083,Cashback,100,15000,0.0,9562.58,7678.95,Current
2023-01-01,100084,Cashback,47,2500,49.0,487.27,0.0,60-89 DPD
2023-01-01,100085,Student,80,5000,38.57,606.52,0.0,30-59 DPD
2023-01-01,100086,Low APR,44,10000,52.87,4178.17,0.0,Current
2023-01-01,100087,Cashback,94,15000,89.33,2207.6,0.0,Current
2023-01-01,100088,Travel Reward,32,2500,101.0,869.23,301.9,Current
2023-01-01,100089,Cashback,26,5000,489.05,800.67,0.0,Current
2023-01-01,100090,Travel Reward,67,1000,96.97,77.92,15.16,Current
2023-01-01,100091,Cashback,98,2500,107.88,341.3,0.0,Current
2023-01-01,100092,Cashback,19,5000,46.18,2172.88,0.0,Current
2023-01-01,100093,Low APR,10,10000,0.0,1656.91,0.0,Current
2023-01-01,100094,Cashback,64,5000,0.0,1878.05,0.0,Current
2023-01-01,100095,Travel Reward,56,10000,6.94,6329.93,643.8,Current
2023-01-01,100096,Travel Reward,26,10000,0.0,5286.64,2402.07,Current
2023-01-01,100097,Cashback,111,10000,0.0,9000.0,9000.0,90+ DPD
2023-01-01,100098,Low APR,102,2500,0.0,601.97,0.0,Current
2023-01-01,100099,Travel Reward,116,1000,100.61,460.35,0.0,Current
2023-01-01,100100,Travel Reward,86,10000,0.0,834.07,0.0,Current
2023-01-01,100101,Low APR,69,5000,937.52,2306.6,1105.5,Current
2023-01-01,100102,Cashback,93,25000,32.22,2683.5,762.98,Current
2023-01-01,100103,Low APR,40,5000,68.86,2759.92,0.0,Current
2023-01-01,100104,Cashback,34,2500,19.53,526.2,166.94,Current
2023-01-01,100105,Student,50,5000,0.0,2321.59,0.0,Current
2023-01-01,100106,Cashback,2,15000,314.64,5362.92,964.07,Current
2023-01-01,100107,Travel Reward,64,10000,518.86,1784.35,1216.9,60-89 DPD
2023-01-01,100108,Travel Reward,47,5000,0.0,505.08,0.0,Current
2023-01-01,100109,Student,76,10000,327.31,1645.28,984.49,Current
2023-01-01,100110,Low APR,92,5000,45.85,1301.8,0.0,Current
2023-01-01,100111,Low APR,59,10000,25.83,3191.2,2405.29,Current
2023-01-01,100112,Travel Reward,96,15000,426.95,3085.84,2061.72,Current
2023-01-01,100113,Cashback,97,5000,20.94,1779.82,951.79,Current
2023-01-01,100114,Cashback,106,5000,1804.17,1947.26,560.08,Current
2023-01-01,100115,Student,88,5000,1264.61,1731.5,1271.28,Current
2023-01-01,100116,Travel Reward,71,2500,65.88,300.17,71.5,Current
2023-01-01,100117,Low APR,6,10000,386.07,1941.58,395.36,Current
2023-01-01,100118,Cashback,31,2500,0.0,584.81,175.17,Current
2023-01-01,100119,Travel Reward,61,5000,0.0,987.59,0.0,Current
2023-01-01,100120,Cashback,49,10000,1693.16,1451.0,200.86,Current
2023-01-01,100121,Travel Reward,91,5000,0.0,3158.4,0.0,Current
2023-01-01,100122,Cashback,40,5000,474.99,1350.78,312.26,Current
2023-01-01,100123,Low APR,87,1000,0.0,900.0,900.0,90+ DPD
2023-01-01,100124,Travel Reward,65,15000,87.66,646.02,325.47,Current
2023-01-01,100125,Cashback,65,2500,68.89,326.56,246.39,Current
2023-01-01,100126,Low APR,23,5000,0.0,4500.0,4500.0,90+ DPD
2023-01-01,100127,Cashback,86,10000,13.74,4464.95,0.0,Current
2023-01-01,100128,Low APR,56,15000,52.16,4432.1,2363.62,Current
2023-01-01,100129,Cashback,55,2500,100.6,72.9,42.32,Current
2023-01-01,100130,Low APR,52,1000,0.0,900.0,900.0,90+ DPD
2023-01-01,100131,Student,93,2500,464.83,775.37,507.52,Current
2023-01-01,100132,Travel Reward,109,25000,2224.01,9636.93,0.0,Current
2023-01-01,100133,Student,109,1000,0.0,363.18,95.82,Current
2023-01-01,100134,Cashback,68,5000,445.76,2598.37,2307.31,Current
2023-01-01,100135,Travel Reward,22,5000,2367.11,553.54,417.67,Current
2023-01-01,100136,Low APR,24,1000,0.0,185.29,0.0,1-29 DPD
2023-01-01,100137,Low APR,92,5000,56.03,1087.07,0.0,Current
2023-01-01,100138,Cashback,108,1000,23.81,142.7,88.48,Current
2023-01-01,100139,Low APR,13,2500,0.0,540.65,203.04,Current
2023-01-01,100140,Cashback,19,10000,801.05,1214.6,336.52,Current
2023-01-01,100141,Low APR,98,15000,0.0,9862.04,0.0,Current
2023-01-01,100142,Low APR,49,10000,0.0,2177.74,319.63,Current
2023-01-01,100143,Cashback,10,5000,0.0,2787.65,1967.29,Current
2023-01-01,100144,Travel Reward,97,25000,172.54,522.46,89.67,Current
2023-01-01,100145,Travel Reward,116,1000,0.0,230.41,157.03,Current
2023-01-01,100146,Cashback,71,2500,104.24,440.65,189.2,1-29 DPD
2023-01-01,100147,Cashback,38,15000,28.55,1524.55,0.0,Current
2023-01-01,100148,Travel Reward,91,1000,20.51,445.19,0.0,Current
2023-01-01,100149,Travel Reward,114,2500,0.0,447.07,0.0,Current
2023-01-01,100150,Travel Reward,29,5000,0.0,1498.05,1209.57,Current
2023-01-01,100151,Cashback,7,5000,260.05,3981.32,0.0,Current
2023-01-01,100152,Cashback,111,5000,105.14,2356.22,1707.16,Current
2023-01-01,100153,Cashback,60,5000,0.0,722.43,0.0,30-59 DPD
2023-01-01,100154,Travel Reward,34,5000,1118.46,601.55,0.0,Current
2023-01-01,100155,Travel Reward,100,2500,493.21,609.9,0.0,Current
2023-01-01,100156,Travel Reward,92,15000,0.0,2123.17,1766.62,1-29 DPD
2023-01-01,100157,Low APR,2,10000,137.76,3961.53,0.0,Current
2023-01-01,100158,Travel Reward,93,5000,88.51,2429.73,0.0,Current
2023-01-01,100159,Student,35,10000,0.0,5489.68,1356.28,Current
2023-01-01,100160,Cashback,17,1000,207.5,157.45,56.18,Current
2023-01-01,100161,Low APR,66,15000,0.0,8335.21,3354.08,Current
2023-01-01,100162,Cashback,72,2500,422.75,907.88,605.42,Current
2023-01-01,100163,Cashback,43,15000,10.26,2068.9,569.98,Current
2023-01-01,100164,Low APR,13,2500,134.61,787.3,0.0,Current
2023-01-01,100165,Cashback,31,5000,8.98,1865.31,717.0,Current
2023-01-01,100166,Low APR,75,5000,0.0,1901.85,654.61,Current
2023-01-01,100167,Cashback,93,15000,190.64,1734.18,1365.71,Current
2023-01-01,100168,Cashback,10,2500,536.61,347.64,0.0,1-29 DPD
2023-01-01,100169,Travel Reward,22,5000,0.0,1581.72,0.0,1-29 DPD
2023-01-01,100170,Travel Reward,46,25000,216.77,2121.36,0.0,Current
2023-01-01,100171,Travel Reward,73,2500,0.0,1149.02,0.0,Current
2023-01-01,100172,Cashback,24,15000,532.6,1892.02,1036.18,Current
2023-01-01,100173,Cashback,13,2500,0.0,761.93,583.68,Current
2023-01-01,100174,Cashback,64,15000,205.15,4378.87,1777.6,Current
2023-01-01,100175,Travel Reward,26,25000,0.0,2737.86,1385.18,Current
2023-01-01,100176,Low APR,59,2500,0.0,1255.09,0.0,Current
2023-01-01,100177,Travel Reward,65,15000,0.0,5677.45,0.0,1-29 DPD
2023-01-01,100178,Cashback,89,5000,87.81,412.37,0.0,Current
2023-01-01,100179,Travel Reward,101,2500,37.8,1173.35,0.0,Current
2023-01-01,100180,Cashback,39,10000,163.53,3608.21,0.0,Current
2023-01-01,100181,Cashback,49,2500,0.0,2250.0,2250.0,90+ DPD
2023-01-01,100182,Travel Reward,7,25000,158.76,5035.25,2313.1,Current
2023-01-01,100183,Cashback,15,1000,800.0,97.72,0.0,1-29 DPD
2023-01-01,100184,Cashback,112,10000,344.38,2339.61,1842.03,Current
2023-01-01,100185,Low APR,101,1000,93.38,120.57,14.94,Current
2023-01-01,100186,Low APR,48,15000,0.0,6804.16,0.0,Current
2023-01-01,100187,Travel Reward,88,2500,0.0,2250.0,2250.0,Charge-off
2023-01-01,100188,Travel Reward,21,15000,21.31,6050.19,0.0,Current
2023-01-01,100189,Travel Reward,116,2500,184.08,1043.02,0.0,Current
2023-01-01,100190,Cashback,117,25000,253.91,2549.67,1432.53,Current
2023-01-01,100191,Cashback,116,10000,998.54,3246.27,2466.14,1-29 DPD
2023-01-01,100192,Low APR,44,15000,540.7,2617.99,1196.09,Current
2023-01-01,100193,Cashback,54,15000,30.22,3673.15,2968.68,Current
2023-01-01,100194,Student,27,5000,46.32,1144.97,349.35,1-29 DPD
2023-01-01,100195,Travel Reward,64,5000,18.24,388.2,207.48,Current
2023-01-01,100196,Travel Reward,40,5000,1775.59,481.34,98.56,Current
2023-01-01,100197,Low APR,2,2500,277.01,1145.54,0.0,Current
2023-01-01,100198,Cashback,33,15000,809.78,3076.66,649.43,Current
2023-01-01,100199,Cashback,18,25000,3161.12,10543.05,0.0,30-59 DPD
2023-01-01,100200,Travel Reward,74,10000,0.0,4769.86,3250.62,Current
2023-01-01,100201,Travel Reward,39,1000,0.0,345.19,256.51,Current
2023-01-01,100202,Low APR,73,15000,480.05,4350.93,2393.17,Current
2023-01-01,100203,Low APR,71,15000,13.8,4223.34,0.0,Current
2023-01-01,100204,Travel Reward,42,5000,0.0,868.94,0.0,Current
2023-01-01,100205,Cashback,59,2500,30.61,1611.2,1192.45,Current
2023-01-01,100206,Travel Reward,100,1000,0.0,347.63,0.0,Current
2023-01-01,100207,Travel Reward,114,10000,941.0,2777.68,0.0,Current
2023-01-01,100208,Low APR,55,5000,0.0,1029.12,188.66,Current
2023-01-01,100209,Student,60,2500,2000.0,890.77,0.0,Current
2023-01-01,100210,Cashback,51,15000,92.6,5920.76,0.0,1-29 DPD
2023-01-01,100211,Cashback,43,10000,0.0,2742.91,1498.86,1-29 DPD
2023-01-01,100212,Low APR,41,5000,0.0,388.03,241.05,1-29 DPD
2023-01-01,100213,Travel Reward,55,5000,0.0,1197.04,0.0,Current
2023-01-01,100214,Cashback,47,15000,1071.82,1501.1,1172.44,Current
2023-01-01,100215,Low APR,96,15000,251.2,656.19,0.0,Current
2023-01-01,100216,Cashback,105,5000,36.86,1214.72,0.0,Current
2023-01-01,100217,Student,3,5000,47.41,810.22,0.0,1-29 DPD
2023-01-01,100218,Student,116,2500,0.0,1499.65,1053.71,Current
2023-01-01,100219,Low APR,16,15000,0.0,2638.64,0.0,Current
2023-01-01,100220,Low APR,117,10000,1662.54,4757.17,2709.21,Current
2023-01-01,100221,Student,68,5000,214.09,703.41,607.23,Current
2023-01-01,100222,Travel Reward,116,15000,86.89,2246.13,404.52,Current
2023-01-01,100223,Cashback,64,10000,178.22,1826.44,0.0,Current
2023-01-01,100224,Cashback,24,5000,0.0,1835.26,575.28,Current
2023-01-01,100225,Low APR,106,2500,0.0,891.98,0.0,Current
2023-01-01,100226,Cashback,106,1000,0.0,579.52,323.61,Current
2023-01-01,100227,Cashback,113,5000,0.0,1648.19,380.47,Current
2023-01-01,100228,Cashback,60,5000,0.0,2782.45,2461.74,Current
2023-01-01,100229,Travel Reward,14,2500,62.98,168.68,123.69,Current
2023-01-01,100230,Travel Reward,105,5000,282.7,1602.37,1237.61,Current
2023-01-01,100231,Cashback,83,5000,33.47,1223.6,0.0,1-29 DPD
2023-01-01,100232,Cashback,89,15000,247.5,2855.92,0.0,Current
2023-01-01,100233,Cashback,102,5000,58.51,1273.62,1063.43,Current
2023-01-01,100234,Cashback,46,10000,0.0,3212.44,0.0,Current
2023-01-01,100235,Cashback,60,10000,0.0,1647.23,0.0,Current
2023-01-01,100236,Cashback,62,10000,57.75,4279.05,1417.9,Current
2023-01-01,100237,Cashback,24,5000,0.0,1183.21,626.14,1-29 DPD
2023-01-01,100238,Travel Reward,19,2500,0.0,554.27,278.58,Current
2023-01-01,100239,Travel Reward,101,5000,36.32,1662.92,1192.8,Current
2023-01-01,100240,Travel Reward,91,5000,106.32,2419.32,0.0,1-29 DPD
2023-01-01,100241,Cashback,4,1000,15.55,131.32,0.0,Current
2023-01-01,100242,Cashback,110,5000,303.57,1014.37,0.0,30-59 DPD
2023-01-01,100243,Cashback,90,5000,115.34,2904.7,2430.38,Current
2023-01-01,100244,Travel Reward,108,10000,52.21,3261.78,2598.97,Current
2023-01-01,100245,Low APR,40,5000,0.0,2667.6,0.0,Current
2023-01-01,100246,Cashback,106,10000,916.49,2410.64,857.54,Current
2023-01-01,100247,Low APR,34,2500,548.71,1322.46,0.0,1-29 DPD
2023-01-01,100248,Cashback,66,2500,0.0,854.85,0.0,Current
2023-01-01,100249,Low APR,26,2500,77.54,448.35,376.66,Current
2023-01-01,100250,Travel Reward,6,5000,699.02,1050.7,295.49,Current
2023-01-01,100251,Travel Reward,75,2500,0.0,122.97,80.86,Current
2023-01-01,100252,Cashback,28,25000,362.95,6692.29,1546.84,30-59 DPD
2023-01-01,100253,Student,24,1000,382.03,180.63,0.0,60-89 DPD
2023-01-01,100254,Travel Reward,87,15000,69.49,8123.35,6793.46,Current
2023-01-01,100255,Student,2,25000,295.69,4102.23,3637.18,60-89 DPD
2023-01-01,100256,Low APR,101,2500,63.09,970.9,0.0,Current
2023-01-01,100257,Low APR,17,2500,0.0,165.27,62.29,Current
2023-01-01,100258,Student,33,1000,153.26,387.64,0.0,1-29 DPD
2023-01-01,100259,Cashback,20,5000,0.0,377.74,0.0,Current
2023-01-01,100260,Travel Reward,52,10000,0.0,9000.0,9000.0,90+ DPD
2023-01-01,100261,Cashback,86,15000,75.68,5987.71,0.0,1-29 DPD
2023-01-01,100262,Cashback,55,10000,882.63,5442.45,0.0,30-59 DPD
2023-01-01,100263,Student,73,5000,35.94,2072.39,1685.89,Current
2023-01-01,100264,Cashback,9,5000,0.0,910.9,475.06,Current
2023-01-01,100265,Cashback,111,5000,298.24,704.4,0.0,Current
2023-01-01,100266,Travel Reward,48,5000,51.84,3014.68,1123.33,Current
2023-01-01,100267,Low APR,30,1000,0.0,159.4,0.0,30-59 DPD
2023-01-01,100268,Cashback,14,2500,1076.49,1542.53,911.99,Current
2023-01-01,100269,Travel Reward,106,25000,0.0,10852.32,4107.57,Current
2023-01-01,100270,Low APR,90,5000,0.0,1461.64,588.86,Current
2023-01-01,100271,Cashback,54,2500,189.48,1131.57,0.0,Current
2023-01-01,100272,Low APR,97,2500,0.0,2250.0,2250.0,90+ DPD
2023-01-01,100273,Travel Reward,28,1000,112.45,110.83,32.55,60-89 DPD
2023-01-01,100274,Travel Reward,93,5000,0.0,1671.17,1208.2,Current
2023-01-01,100275,Travel Reward,9,2500,127.07,658.9,0.0,Current
2023-01-01,100276,Travel Reward,48,1000,202.35,265.23,170.65,Current
2023-01-01,100277,Cashback,115,15000,7.52,4524.47,3280.49,Current
2023-01-01,100278,Cashback,115,5000,4.99,1280.78,0.0,Current
2023-01-01,100279,Cashback,38,5000,185.91,850.71,0.0,30-59 DPD
2023-01-01,100280,Low APR,45,5000,2034.77,1830.05,0.0,Current
2023-01-01,100281,Cashback,115,5000,1985.8,145.74,0.0,Current
2023-01-01,100282,Cashback,21,10000,0.0,2602.05,1719.22,Current
2023-01-01,100283,Travel Reward,55,15000,0.0,3180.93,0.0,Current
2023-01-01,100284,Student,16,5000,1517.56,1193.98,484.2,Current
2023-01-01,100285,Cashback,115,10000,120.12,2910.53,1351.97,Current
2023-01-01,100286,Student,1,1000,0.0,900.0,900.0,Charge-off
2023-01-01,100287,Travel Reward,100,5000,12.93,494.81,162.15,Current
2023-01-01,100288,Travel Reward,26,15000,3.56,6332.11,2559.9,Current
2023-01-01,100289,Cashback,104,10000,0.0,4156.32,1490.38,Current
2023-01-01,100290,Student,112,5000,1619.46,420.45,233.67,Current
2023-01-01,100291,Cashback,85,25000,0.0,11303.22,1209.62,Current
2023-01-01,100292,Low APR,8,1000,800.0,370.38,292.69,1-29 DPD
2023-01-01,100293,Low APR,71,10000,20.76,3848.59,479.96,Current
2023-01-01,100294,Low APR,19,5000,0.0,1718.06,0.0,Current
2023-01-01,100295,Cashback,83,5000,57.08,2568.26,2310.57,Current
2023-01-01,100296,Cashback,21,25000,0.0,6790.92,0.0,1-29 DPD
2023-01-01,100297,Cashback,85,2500,532.11,619.27,0.0,Current
2023-01-01,100298,Cashback,110,5000,579.76,2109.13,1023.78,1-29 DPD
2023-01-01,100299,Student,102,5000,0.0,433.86,0.0,Current
2023-01-01,100300,Travel Reward,35,10000,0.0,4008.12,3584.39,Current
2023-01-01,100301,Cashback,88,1000,7.72,632.88,0.0,30-59 DPD
2023-01-01,100302,Cashback,32,2500,96.5,192.67,0.0,60-89 DPD
2023-01-01,100303,Cashback,21,15000,0.0,1466.0,0.0,Current
2023-01-01,100304,Low APR,111,15000,0.0,5648.66,4610.94,Current
2023-01-01,100305,Travel Reward,24,10000,467.18,489.38,0.0,Current
2023-01-01,100306,Cashback,110,1000,54.36,344.54,0.0,1-29 DPD
2023-01-01,100307,Cashback,18,25000,488.99,1976.81,0.0,Current
2023-01-01,100308,Low APR,25,15000,90.12,3829.62,0.0,Current
2023-01-01,100309,Travel Reward,65,10000,44.06,68.25,58.35,Current
2023-01-01,100310,Low APR,40,25000,0.0,8660.21,7644.19,Current
2023-01-01,100311,Low APR,114,5000,49.69,610.25,0.0,Current
2023-01-01,100312,Student,119,10000,0.0,5416.71,0.0,Current
2023-01-01,100313,Travel Reward,21,1000,19.56,224.75,0.0,1-29 DPD
2023-01-01,100314,Cashback,61,1000,28.99,199.6,73.78,Current
2023-01-01,100315,Low APR,87,2500,0.0,363.79,0.0,Current
2023-01-01,100316,Travel Reward,68,10000,136.65,1064.35,533.24,Current
2023-01-01,100317,Student,78,10000,6.8,1158.81,0.0,30-59 DPD
2023-01-01,100318,Cashback,34,5000,263.37,1493.23,1123.42,Current
2023-01-01,100319,Cashback,83,2500,14.24,323.48,0.0,Current
2023-01-01,100320,Travel Reward,105,10000,783.11,7236.11,0.0,Current
2023-01-01,100321,Travel Reward,82,10000,97.02,697.54,196.83,Current
2023-01-01,100322,Travel Reward,22,5000,99.07,426.64,121.19,Current
2023-01-01,100323,Cashback,83,2500,749.33,870.05,326.97,Current
2023-01-01,100324,Travel Reward,96,5000,154.34,2531.18,1328.64,Current
2023-01-01,100325,Travel Reward,22,25000,0.0,9852.64,0.0,Current
2023-01-01,100326,Student,72,25000,0.0,7913.64,0.0,Current
2023-01-01,100327,Low APR,86,1000,41.76,397.88,136.81,Current
2023-01-01,100328,Student,40,5000,0.0,2799.26,0.0,30-59 DPD
2023-01-01,100329,Low APR,114,2500,123.15,1075.97,636.15,Current
2023-01-01,100330,Travel Reward,13,2500,50.03,781.24,0.0,Current
2023-01-01,100331,Travel Reward,62,5000,46.54,1297.5,427.61,Current
2023-01-01,100332,Cashback,115,2500,507.91,753.22,132.9,Current
2023-01-01,100333,Travel Reward,13,2500,197.13,174.57,0.0,1-29 DPD
2023-01-01,100334,Cashback,83,2500,33.35,1693.06,0.0,Current
2023-01-01,100335,Cashback,24,5000,0.0,940.02,116.18,Current
2023-01-01,100336,Cashback,45,25000,67.21,2710.82,0.0,Current
2023-01-01,100337,Low APR,97,5000,0.0,2778.94,0.0,Current
2023-01-01,100338,Cashback,24,2500,0.0,1027.59,529.67,30-59 DPD
2023-01-01,100339,Travel Reward,108,1000,0.0,250.46,0.0,Current
2023-01-01,100340,Travel Reward,10,1000,0.0,399.38,293.3,Current
2023-01-01,100341,Travel Reward,76,10000,0.0,2125.78,1586.79,Current
2023-01-01,100342,Cashback,18,2500,602.1,913.16,660.23,Current
2023-01-01,100343,Travel Reward,21,10000,1240.33,689.11,607.38,Current
2023-01-01,100344,Cashback,77,2500,0.0,357.65,116.39,Current
2023-01-01,100345,Cashback,91,10000,0.0,4214.12,0.0,Current
2023-01-01,100346,Travel Reward,100,15000,75.14,6563.72,2690.3,1-29 DPD
2023-01-01,100347,Cashback,50,10000,105.72,683.31,0.0,Current
2023-01-01,100348,Cashback,44,2500,0.0,568.55,0.0,Current
2023-01-01,100349,Cashback,46,2500,0.0,1359.99,0.0,Current
2023-01-01,100350,Travel Reward,52,15000,0.0,6515.53,2010.12,Current
2023-01-01,100351,Low APR,105,5000,0.0,793.26,0.0,Current
2023-01-01,100352,Cashback,60,15000,76.17,5472.44,4803.48,Current
2023-01-01,100353,Low APR,32,5000,503.05,642.35,0.0,Current
2023-01-01,100354,Student,97,15000,160.61,3140.03,0.0,Current
2023-01-01,100355,Student,73,2500,0.0,525.85,439.75,Current
2023-01-01,100356,Cashback,97,1000,59.77,144.31,67.81,Current
2023-01-01,100357,Cashback,35,2500,0.0,1040.51,131.36,Current
2023-01-01,100358,Travel Reward,79,5000,0.0,1853.14,1434.07,Current
2023-01-01,100359,Travel Reward,49,15000,0.0,4720.56,728.81,Current
2023-01-01,100360,Low APR,26,2500,110.52,524.53,0.0,Current
2023-01-01,100361,Travel Reward,105,2500,210.74,311.31,89.7,1-29 DPD
2023-01-01,100362,Low APR,72,10000,66.02,3197.35,0.0,1-29 DPD
2023-01-01,100363,Cashback,58,15000,138.73,2292.64,1016.9,Current
2023-01-01,100364,Cashback,24,15000,0.0,2312.03,831.77,Current
2023-01-01,100365,Travel Reward,117,1000,95.61,470.11,0.0,Current
2023-01-01,100366,Student,49,1000,0.0,187.56,0.0,Current
2023-01-01,100367,Cashback,11,1000,0.0,219.41,41.51,Current
2023-01-01,100368,Low APR,6,15000,0.0,6112.52,3236.51,Current
2023-01-01,100369,Cashback,57,15000,0.0,2220.98,0.0,Current
2023-01-01,100370,Low APR,86,10000,53.95,4314.55,2790.58,Current
2023-01-01,100371,Travel Reward,59,5000,21.99,995.91,236.58,Current
2023-01-01,100372,Cashback,27,5000,63.83,438.84,278.61,Current
2023-01-01,100373,Cashback,66,1000,25.65,288.61,137.74,Current
2023-01-01,100374,Low APR,79,2500,473.84,1192.8,220.0,Current
